Objekta nosaukums,Adrese
Mencendorfa nams. Rīdzinieku 17.-18.gs. māja-muzejs.,"Grēcinieku iela 18, Rīga, LV-1050"
"Muzejs ""Ebreji Latvijā""","Skolas iela 6, Rīga, LV-1010"
"Muzejs ""Rīgas Jūgendstila centrs""","Alberta iela 12, Rīga, LV-1010"
Naujenes Novadpētniecības muzejs,"Skolas iela 1, Naujene, Naujenes pag., Augšdaugavas nov., LV-5462"
Naukšēnu Cilvēkmuzejs,"""Doktorāts"", Naukšēni, Naukšēnu pag., Valmieras nov., LV-4244"
Ogres Vēstures un mākslas muzejs,"Brīvības iela 36, Ogre, Ogres nov., LV-5001"
Ojāra Vācieša muzejs,"Ojāra Vācieša iela 19, Rīga, LV-1004"
Olaines Vēstures un mākslas muzejs,"Jelgavas iela 9 - 37, Olaine, Olaines nov., LV-2114"
Pāles novadpētniecības muzejs,"Pāle, Pāles pag., Limbažu nov."
Paula Stradiņa Medicīnas vēstures muzejs,"Antonijas iela 1, Rīga, LV-1010"
Pāvilostas novadpētniecības muzejs,"Dzintaru iela 1, Pāvilosta, Dienvidkurzemes nov., LV-3466"
Pētera Upīša Dārzkopības muzejs,"Ceriņi, Krimūnu pag., Dobeles nov."
"Piebalgas muzeju apvienība ""Orisāre""","""Norkalni 2"", Vecpiebalga, Vecpiebalgas pag., Cēsu nov., LV-4122"
Preiļu vēstures un lietišķās mākslas muzejs,"Raiņa bulvāris 28, Preiļi, Preiļu nov., LV-5301"
Profesora Aleksandra Bieziņa muzejs,"""Jaundilmaņi"", Sarkaņu pag., Madonas nov., LV-4870"
Raiņa māja Berķenelē,"""Raiņa mājas"", Birkineļi, Kalkūnes pag., Augšdaugavas nov., LV-5449"
"Raiņa muzejs ""Jasmuiža""","""Jasmuiža"", Aizkalne, Aizkalnes pag., Preiļu nov., LV-5305"
"Raiņa muzejs ""Tadenava""","""Tadenavas muzejs"", Dunavas pag., Jēkabpils nov., LV-5216"
Raiņa un Aspazijas māja,"Baznīcas iela 30, Rīga, LV-1010"
Raiņa un Aspazijas muzejs (apvienība),"Baznīcas iela 30, Rīga, LV-1010"
Raiņa un Aspazijas vasarnīca,"Jāņa Pliekšāna iela 5/7, Jūrmala, LV-2015"
Rakstniecības un mūzikas muzejs,"Pulka iela 8, Rīga, LV-1007"
Retro auto muzejs,"Kantora iela 22A, Rīga, LV-1002"
Rīgas Motormuzejs,"Sergeja Eizenšteina iela 8, Rīga, LV-1079"
Rīgas pašvaldības kultūras iestāžu apvienības Rīgas Porcelāna muzejs,"Kalēju iela 9/11, Rīga, LV-1050"
Rīgas Stradiņa universitātes Anatomijas muzejs,"Kronvalda bulvāris 9, Rīga, LV-1010"
Rīgas Stradiņa universitātes muzejs,"Dzirciema iela 16, Rīga, LV-1007"
Rīgas vēstures un kuģniecības muzejs,"Palasta iela 4, Rīga, LV-1050"
Roberta Mūka muzejs Galēnos,"Skolas iela 11C, Galēni, Galēnu pag., Preiļu nov., LV-5311"
Rojas Jūras zvejniecības muzejs,"Selgas iela 33, Roja, Rojas pag., Talsu nov., LV-3264"
Romana Sutas un Aleksandras Beļcovas muzejs,"Elizabetes iela 57A - 26, Rīga, LV-1050"
Rūdolfa Blaumaņa memoriālais muzejs ''Braki'',"""Braki"", Ērgļu pag., Madonas nov., LV-4840"
Rundāles pils muzejs,"""Rundāles pils"", Pilsrundāle, Rundāles pag., Bauskas nov., LV-3921"
Rundāles ūdensdzirnavu muzejs,"""Rundāles ūdensdzirnavas"", Pilsrundāle, Rundāles pag., Rundāles nov., LV-3921"
Salacgrīvas  muzejs,"Sila iela 2, Salacgrīva, Limbažu nov., LV-4033"
Salaspils memoriāls,"""Salaspils memoriāls"", Salaspils pag., Salaspils nov., LV-2121"
Skrindu dzimtas muzejs,"Vabole, Vaboles pag., Augšdaugavas nov."
Smiltenes novada muzejs,"""Mēru muiža"", Mēri, Bilskas pag., Smiltenes nov., LV-4706"
"Staiceles lībiešu muzejs ""Pivālind""","Lielā iela 14, Staicele, Limbažu nov., LV-4043"
Talsu novada muzejs,"Kārļa Mīlenbaha iela 19, Talsi, Talsu nov., LV-3201"
Tēlnieka Voldemāra Jākobsona memoriālā māja,"""Galdiņi"", Vecbebri, Bebru pag., Aizkraukles nov., LV-5135"
Tukuma muzejs,"Harmonijas iela 7, Tukums, Tukuma nov., LV-3101"
Tukuma muzejs - Durbes pils,"M. Parka iela 7, Tukums, Tukuma nov., LV-3101"
Tukuma muzejs - Džūkstes Pasaku muzejs,"""Lanciņu skola"", Lancenieki, Džūkstes pag., Tukuma nov., LV-3147"
"Tukuma muzejs - Mākslas galerija ""Durvis""","Brīvības laukums 21, Tukums, Tukuma nov., LV-3101"
Tukuma muzejs - Pastariņa muzejs,"""Bisnieki"", Zentenes pag., Tukuma nov., LV-3123"
Tukuma muzejs - Tukuma Audēju darbnīca,"Tidaholmas iela 3, Tukums, Tukuma nov., LV-3101"
Tukuma muzejs - Tukuma Mākslas muzejs,"Harmonijas iela 7, Tukums, Tukuma nov., LV-3101"
"Tukuma muzejs - Tukuma pilsētas vēstures muzejs ""Pils tornis""","Brīvības laukums 19A, Tukums, Tukuma nov., LV-3101"
Turaidas muzejrezervāts,"Turaidas iela 10, Sigulda, Siguldas nov., LV-2150"
Upītes kultūrvēstures muzejs,"Akas laukums 1, Upīte, Šķilbēnu pag., Balvu nov., LV-4587"
Valkas novadpētniecības muzejs,"Rīgas iela 64, Valka, Valkas nov., LV-4701"
Valmieras muzejs,"Bruņinieku iela 3, Valmiera, Valmieras nov., LV-4201"
Varakļānu Novada muzejs,"Pils iela 29, Varakļāni, Varakļānu nov., LV-4838"
Vārkavas novadpētniecības muzejs - tūrisma informācijas centrs,"Kovaļevsku iela 4, Vārkava, Vārkavas pag., Preiļu nov., LV-5337"
"Ventspils muzejs. Herberta Dorbes muzejs ""Senču putekļi""","Ērgļu iela 1, Ventspils, LV-3601"
Ventspils muzejs. Livonijas ordeņa pils,"Jāņa iela 17, Ventspils, LV-3601"
Ventspils muzejs. Piejūras brīvdabas muzejs,"Riņķa iela 2, Ventspils, LV-3601"
"Ventspils muzejs. Ziemeļkurzemes amatniecības centrs ""Amatu māja""","Skolas iela 3, Ventspils, LV-3601"
Vērgales pagasta muzejs,"""Dīķnieki"", Vērgale, Vērgales pag., Dienvidkurzemes nov., LV-3463"
"Vēstures ekspozīcija ""Sirdsapziņas ugunskurs""","Pils iela 12, Cēsis, Cēsu nov., LV-4101"
"Viesītes muzejs ""Sēlija""","Kaļķu iela 1, Viesīte, Jēkabpils nov., LV-5237"
Viļa Plūdoņa muzejs,"""Lejenieki"", Ceraukstes pag., Bauskas nov., LV-3901"
Viļakas muzejs,"Balvu iela 13, Viļaka, Balvu nov., LV-4583"
Viļānu Novadpētniecības  muzejs,"Kultūras laukums 2, Viļāni, Rēzeknes nov., LV-4650"
Žaņa Lipkes memoriāls,"Mazais Balasta dambis 9, Rīga, LV-1048"
